STATION_NAME                                           DATE           PRCP      TMAX      TMIN      
RUSSELLVILLE NUMBER 2 AL US                            20180313       0.00      132.8     84.2      
RUSSELLVILLE NUMBER 2 AL US                            20180314       0.00      132.8     87.8      
RUSSELLVILLE NUMBER 2 AL US                            20180315       0.00      141.8     84.2      
RUSSELLVILLE NUMBER 2 AL US                            20180316       0.00      156.2     111.2     
RUSSELLVILLE NUMBER 2 AL US                            20180319       0.10      174.2     120.2     
RUSSELLVILLE NUMBER 2 AL US                            20180320       0.40      165.2     105.8     
RUSSELLVILLE NUMBER 2 AL US                            20180321       0.00      123.8     86        
RUSSELLVILLE NUMBER 2 AL US                            20180322       0.00      125.6     84.2      
RUSSELLVILLE NUMBER 2 AL US                            20180324       0.00      154.4     98.6      
RUSSELLVILLE NUMBER 2 AL US                            20180325       0.05      150.8     125.6     
RUSSELLVILLE NUMBER 2 AL US                            20180326       0.00      149       123.8     
RUSSELLVILLE NUMBER 2 AL US                            20180328       0.00      161.6     118.4     
RUSSELLVILLE NUMBER 2 AL US                            20180329       2.00      165.2     136.4     
RUSSELLVILLE NUMBER 2 AL US                            20180331       0.00      161.6     96.8      
SELMA AL US                                            20180301       0.00      165.2     134.6     
SELMA AL US                                            20180302       0.06      176       116.6     
SELMA AL US                                            20180303       0.00      150.8     100.4     
SELMA AL US                                            20180304       0.00      159.8     96.8      
SELMA AL US                                            20180305       0.00      161.6     100.4     
SELMA AL US                                            20180306       0.60      163.4     122       
SELMA AL US                                            20180307       0.30      156.2     114.8     
SELMA AL US                                            20180308       0.00      132.8     96.8      
SELMA AL US                                            20180309       0.00      132.8     89.6      
SELMA AL US                                            20180310       0.00      150.8     87.8      
SELMA AL US                                            20180311       1.05      168.8     113       
SELMA AL US                                            20180312       1.03      147.2     113       
SELMA AL US                                            20180313       0.00      138.2     102.2     
SELMA AL US                                            20180314       0.00      140       96.8      
SELMA AL US                                            20180315       0.00      140       91.4      
SELMA AL US                                            20180316       0.00      156.2     87.8      
SELMA AL US                                            20180317       0.00      154.4     104       
SELMA AL US                                            20180318       0.00      179.6     143.6     
SELMA AL US                                            20180319       0.20      163.4     145.4     
SELMA AL US                                            20180320       0.00      176       143.6     
SELMA AL US                                            20180321       0.00      145.4     107.6     
SELMA AL US                                            20180322       0.00      140       100.4     
SELMA AL US                                            20180323       0.00      149       96.8      
SELMA AL US                                            20180324       0.00      163.4     111.2     
SELMA AL US                                            20180325       0.00      174.2     131       
SELMA AL US                                            20180326       0.00      181.4     129.2     
SELMA AL US                                            20180327       0.00      136.4     122       
SELMA AL US                                            20180328       0.00      161.6     122       
SELMA AL US                                            20180329       0.00      174.2     136.4     
SELMA AL US                                            20180330       0.92      174.2     134.6     
SELMA AL US                                            20180331       0.00      154.4     111.2     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180301       0.54      147.2     122       
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180302       0.00      138.2     107.6     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180303       0.00      143.6     100.4     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180304       0.00      154.4     98.6      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180305       0.16      143.6     122       
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180306       0.00      150.8     116.6     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180307       0.00      118.4     89.6      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180308       0.00      122       86        
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180309       0.00      149       80.6      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180310       0.81      145.4     116.6     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180311       0.30      140       102.2     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180312       0.00      129.2     96.8      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180313       0.00      132.8     89.6      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180314       0.00      127.4     91.4      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180315       0.00      159.8     89.6      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180316       0.00      156.2     109.4     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180317       0.01      177.8     140       
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180318       0.01      143.6     118.4     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180319       1.04      154.4     127.4     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180320       0.00      131       98.6      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180321       0.00      127.4     93.2      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180322       0.00      141.8     87.8      
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180323       0.00      141.8     104       
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180324       0.01      154.4     120.2     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180325       0.33      150.8     123.8     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180326       0.00      134.6     123.8     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180327       0.00      163.4     122       
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180328       0.57      165.2     141.8     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180329       0.79      143.6     127.4     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180330       0.00      145.4     107.6     
MUSCLE SHOALS REGIONAL AIRPORT AL US                   20180331       0.00      161.6     100.4     
MONTGOMERY AIRPORT AL US                               20180301       0.01      183.2     132.8     
MONTGOMERY AIRPORT AL US                               20180302       0.00      154.4     116.6     
MONTGOMERY AIRPORT AL US                               20180303       0.00      163.4     96.8      
MONTGOMERY AIRPORT AL US                               20180304       0.00      161.6     100.4     
MONTGOMERY AIRPORT AL US                               20180305       0.02      167       118.4     
MONTGOMERY AIRPORT AL US                               20180306       0.82      154.4     120.2     
MONTGOMERY AIRPORT AL US                               20180307       0.00      132.8     98.6      
MONTGOMERY AIRPORT AL US                               20180308       0.00      134.6     89.6      
MONTGOMERY AIRPORT AL US                               20180309       0.00      149       86        
MONTGOMERY AIRPORT AL US                               20180310       0.01      165.2     111.2     
MONTGOMERY AIRPORT AL US                               20180311       0.97      143.6     127.4     
MONTGOMERY AIRPORT AL US                               20180312       0.00      138.2     105.8     
MONTGOMERY AIRPORT AL US                               20180313       0.00      141.8     96.8      
MONTGOMERY AIRPORT AL US                               20180314       0.00      138.2     96.8      
MONTGOMERY AIRPORT AL US                               20180315       0.00      156.2     86        
MONTGOMERY AIRPORT AL US                               20180316       0.02      158       102.2     
MONTGOMERY AIRPORT AL US                               20180317       0.00      179.6     138.2     
MONTGOMERY AIRPORT AL US                               20180318       0.04      170.6     145.4     
MONTGOMERY AIRPORT AL US                               20180319       0.01      176       147.2     
MONTGOMERY AIRPORT AL US                               20180320       0.00      161.6     118.4     
MONTGOMERY AIRPORT AL US                               20180321       0.00      143.6     104       
MONTGOMERY AIRPORT AL US                               20180322       0.00      149       98.6      
MONTGOMERY AIRPORT AL US                               20180323       0.00      161.6     102.2     
MONTGOMERY AIRPORT AL US                               20180324       0.00      179.6     125.6     
MONTGOMERY AIRPORT AL US                               20180325       0.00      177.8     132.8     
MONTGOMERY AIRPORT AL US                               20180326       0.00      134.6     122       
MONTGOMERY AIRPORT AL US                               20180327       0.00      165.2     122       
MONTGOMERY AIRPORT AL US                               20180328       0.00      176       131       
MONTGOMERY AIRPORT AL US                               20180329       1.28      177.8     138.2     
MONTGOMERY AIRPORT AL US                               20180330       0.00      156.2     114.8     
MONTGOMERY AIRPORT AL US                               20180331       0.00      163.4     105.8     
MOBILE REGIONAL AIRPORT AL US                          20180301       0.04      179.6     138.2     
MOBILE REGIONAL AIRPORT AL US                          20180302       0.00      163.4     120.2     
MOBILE REGIONAL AIRPORT AL US                          20180303       0.00      168.8     105.8     
MOBILE REGIONAL AIRPORT AL US                          20180304       0.00      168.8     113       
MOBILE REGIONAL AIRPORT AL US                          20180305       0.00      168.8     123.8     
MOBILE REGIONAL AIRPORT AL US                          20180306       0.54      158       127.4     
MOBILE REGIONAL AIRPORT AL US                          20180307       0.00      141.8     111.2     
MOBILE REGIONAL AIRPORT AL US                          20180308       0.00      145.4     91.4      
MOBILE REGIONAL AIRPORT AL US                          20180309       0.00      152.6     93.2      
MOBILE REGIONAL AIRPORT AL US                          20180310       0.09      167       125.6     
MOBILE REGIONAL AIRPORT AL US                          20180311       0.70      167       138.2     
MOBILE REGIONAL AIRPORT AL US                          20180312       0.00      143.6     113       
MOBILE REGIONAL AIRPORT AL US                          20180313       0.00      143.6     102.2     
MOBILE REGIONAL AIRPORT AL US                          20180314       0.00      150.8     91.4      
